"FBCP1_4.no","FBCP1_4.si","FBCP1_6.indígena?","FBCP1_6.mestizo/a?","FBCP1_7.casado","FBCP1_7.separado","FBCP1_7.soltero","FBCP1_7.unión libre","FBCH_17.no","FBCH_17.si","FSCCN_23.hombre","FSCCN_23.mujer","FBCH_1.carretera/ calle pavimentada o adoquinada","FBCH_1.empedrado","FBCH_1.lastrado/ calle de tierra","FBCH_1.sendero","FBCH_2.casa o villa","FBCH_2.departamento","FBCH_2.mediagua","FBCH_2.rancho","FBCH_3.asbesto(eternit)?","FBCH_3.hormigón/losa/cemento?","FBCH_3.teja?","FBCH_3.zinc?","FBCH_4.asbesto/cemento (fibrolit)?","FBCH_4.hormigón/bloque/ladrillo?","FBCH_4.madera?","FBCH_5.cemento/ladrillo?","FBCH_5.cerámica/baldosa/vinyl?","FBCH_5.duela/ parquet/ tabloncillo/ tablón tratado/ piso flotante ?","FBCH_5.tabla/tablón no tratado?","FBCH_6.otra fuente por tubería?","FBCH_6.pozo?","FBCH_6.red pública?","FBCH_6.río/ vertiente/ acequia?","FBCH_7.no recibe agua por tubería, sino por otros medios?","FBCH_7.por tubería dentro de la vivienda?","FBCH_7.por tubería fuera de la vivienda pero dentro del edificio, lote o terreno?","FBCH_8.excusado y alcantarillado?","FBCH_8.excusado y pozo ciego?","FBCH_8.excusado y pozo séptico?","FBCH_8.no tiene?","FBCH_10.la queman?","FBCH_10.servicio municipal ?","FBCH_11","FBCH_12","FBCH_13.la beben tal como llega al hogar?","FBCH_13.la hierven?","FBCH_14.gas?","FBCH_14.leña/carbón?","FBCH_15.no","FBCH_15.si","FBCH_16.no","FBCH_16.si","FBCH_18.cedida?","FBCH_18.en arriendo?","FBCH_18.propia y la está pagando?","FBCH_18.propia y totalmente pagada ?","FBCP1_1","FBCP1_5","FBCP1_8.Educación Básica","FBCP1_8.Educación Media/Bachillerato","FBCP1_8.Superior","FIPA_4.no","FIPA_4.si","FIPA_5.entre una hora y menos de 24 horas?","FIPA_5.inmediatamente después de nacido (después del parto)?","FIPA_5.más de un día?","FIPA_5.menos de una hora?","FIPA_6.no","FIPA_6.si","FIPA_11.no","FIPA_11.si","FIPA_12.no","FIPA_12.si","FIPA_13.no","FIPA_13.si","FIPA_14","FIPA_15.no","FIPA_15.si","FIPA_17.no","FIPA_17.si","FIPA_19.no","FIPA_19.no sabe / no responde","FIPA_19.si","FIPA_20.no","FIPA_20.si","FIPA_21","FIPA_22.no","FIPA_22.si","FIPA_24.no","FIPA_24.no sabe / no responde","FIPA_24.si","FIPA_26.no","FIPA_26.si","FIPA_28.no","FIPA_28.no sabe / no responde","FIPA_28.si","FIPA_32.no","FIPA_32.si","FIPA_33.no","FIPA_33.no sabe / no responde","FIPA_33.si","FIPA_34.no","FIPA_34.si","FIPA_35.no","FIPA_35.si","FIPA_36.no","FIPA_36.no sabe / no responde","FIPA_36.si","FBCP1_3.no quería más hijos?","FBCP1_3.quería esperar mas tiempo ?","FBCP1_3.tener ese hijo?","FSCE_2.clínica/consultorio privado","FSCE_2.establecimientos de salud del msp","FSCE_2.hospital/clínica/dispensario del iess","FSCE_3","FSCE_4","FSCE_5.no","FSCE_5.si","FSCE_6.clínica/consultorio privado","FSCE_6.en casa","FSCE_6.establecimientos de salud del msp","FSCE_6.hospital/clínica/dispensario del iess","FSCE_7.médico","FSCE_7.obstetriz","FSCE_8.césaria","FSCE_8.normal (vaginal)","FSCE_9.a tiempo","FSCE_9.prematuro","FSCE_10.no","FSCE_10.si","FSCE_11","FSCE_12","FSCE_13","FSCE_14.clínica/consultorio privado","FSCE_14.consejo provincial/unidad municipal de salud","FSCE_14.establecimientos de salud del msp","FSCN_2.gramos","FSCN_2.kilos-gramos","FSCN_2.libras-onzas","FSCN_2.no sabe","FSCN_5.igual","FSCN_5.más grande","FSCN_5.pequeño","FSCN_6.no","FSCN_6.si","FSCN_6.si le entregaron pero se perdio","FSCN_7.no","FSCN_7.si","FSCN_9.no","FSCN_9.si","FSCN_11.no","FSCN_11.si","FSCN_13.no","FSCN_13.si","FSCCN_2","FSCCN_3","FSCCN_4","FSCCN_5.¿estaba enfermo?","FSCCN_5.¿para control niño sano?","FSCCN_6.clínica/consultorio privado","FSCCN_6.establecimientos de salud del msp","FSCCN_6.hospital/clínica/dispensario del iess","FSCCN_8","FSCCN_9","FSCCN_10","FSCCN_11","FSCCN_12","FSCCN_13","FSCCN_14","FSCCN_15","FSCCN_16","FSCCN_17","FSCCN_18","FSCCN_19","FSCCN_21.0-11","FSCCN_21.12-18","FSCCN_21.19-23","FSCCN_21.24-30","FSCCN_21.31-35","FSCCN_22","FIPA_1","FIPA_2","FIPA_3","FIEI_1.no","FIEI_1.si","FIEI_4.no","FIEI_4.si","dcronica"
1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,4,3,1,0,1,0,1,0,1,0,0,1,0,0,36,4,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,5,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,4,11,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,17,17,17,17,17,17,17,17,17,17,17,17,0,0,1,0,0,19,66,66,66,1,0,1,0,"0"
1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,2,1,0,1,0,0,1,1,0,1,0,0,0,31,3,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,2.07329558663756,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,12,6,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,17,17,17,17,17,17,17,17,17,17,17,17,0,0,1,0,0,22,66,66,66,1,0,1,0,"1"
1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,4,3,1,0,1,0,1,0,1,0,0,0,0,1,38,4,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,2.38575511303459,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,12,6,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0.106155631193597,0.192532868074688,0.871759563354414,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,16.7804780405595,16.8416665603411,16.9361446848561,16.9361446848561,17.2184497265327,16.9361446848561,16.9361446848561,16.9361446848561,16.9361446848561,17.2184497265327,16.9361446848561,16.9361446848561,0,0,1,0,0,20,66,66,66,1,0,0,1,"1"
1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,3,1,0,1,0,1,0,1,0,0,1,0,0,20,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,3,1,0,0,1,0,0,1,0,1,3,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,20,3,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,10,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,17,17,17,18,17.7043836146942,17.4908151598211,17.4908151598211,17,18,18,18,17.4908151598211,0,1,0,0,0,16,66,66,66,0,1,1,0,"0"
1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,3,0,1,1,0,1,0,1,0,0,1,0,0,30,3,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,2,1,0,0,1,1,0,0,1,0,1.65960687071721,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,3,8,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,2,0,0,1,1,0,0,17.0631184832021,17.1332817455503,17.2676557147907,17.2676557147907,17.4100451463023,17.2676557147907,17.2676557147907,17.2676557147907,17.2676557147907,17.4100451463023,17.2676557147907,17.2676557147907,0,0,1,0,0,22,66,66,66,1,0,1,0,"0"
1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,2,1,0,1,0,1,0,1,0,0,1,0,0,25,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,3,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,3,8,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,17,17,17,17,17,17,17.2398598165722,17,17,17,17,17,0,1,0,0,0,17,66,66,66,1,0,0,1,"1"
1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,2,0,1,1,0,1,0,1,0,1,0,0,0,28,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,3.32223072674277,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,4,15,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,2,0,0,1,1,0,0,18,17.4989076350611,19,19,18.0792001078947,19,19,19,19,19,19,19,1,0,0,0,0,7,66,66,66,1,0,1,0,"0"
1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,2,1,0,1,0,1,0,0,1,0,0,0,1,39,3,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,2.70156641601137,1,0,1,0,1,0,0,1,0,1.48958636358586,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,5,9,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,17,17,18,18,19,18,18,18,18,18,18,18,0,1,0,0,0,13,66,66,66,1,0,1,0,"0"
1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2,1,1,0,1,0,1,0,1,0,0,1,0,0,27,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,2.92612073714998,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,4,8,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,2,0,0,0,1,0,1,0,17,17,18,18,18,18,18,18,18,18,18,18,0,1,0,0,0,12,66,66,66,1,0,1,0,"0"
1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,4,3,0,0,1,0,1,0,1,0,0,1,0,0,30,2,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,5,8,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0.173337467694756,0.259057164850562,1.07141977226076,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,4,0,0,0,1,0,1,0,16.8978767132425,16.9354978618848,17.0282887594829,17.0282887594829,17.5159700357671,17.0282887594829,17.0282887594829,17.0282887594829,17.0282887594829,17.5159700357671,17.0282887594829,17.0282887594829,0,1,0,0,0,16,66,66,66,0,1,1,0,"0"
1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,5,3,1,0,1,0,1,0,0,1,0,0,0,0,41,3,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,6,1,0,0,1,0,0,1,1,0,1.13718517304432,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,6,8,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,17,17,17,17,17,17,17,17,17,17,17,17,0,0,1,0,0,20,0,0,1,1,0,1,0,"0"
